video_id,title,published_at,default_thumbnail_url,large_thumbnail_url
JoM4JGqQyCU,Glory Steady Go! / ワンダーランズ×ショウタイム × 巡音ルカ,2021-09-09T03:53:33Z,https://i.ytimg.com/vi/JoM4JGqQyCU/default.jpg,https://i.ytimg.com/vi/JoM4JGqQyCU/hqdefault.jpg
mqrp4SfMJwk,恋愛裁判 / MORE MORE JUMP！ × 初音ミク,2021-11-10T03:03:34Z,https://i.ytimg.com/vi/mqrp4SfMJwk/default.jpg,https://i.ytimg.com/vi/mqrp4SfMJwk/hqdefault.jpg
8m1cUgLepmY,シネマ / Vivid BAD SQUAD × KAITO,2021-08-17T09:11:11Z,https://i.ytimg.com/vi/8m1cUgLepmY/default.jpg,https://i.ytimg.com/vi/8m1cUgLepmY/hqdefault.jpg
J9kD9rYR088,ジャックポットサッドガール / 25時、ナイトコードで。 × 初音ミク,2021-08-03T02:57:32Z,https://i.ytimg.com/vi/J9kD9rYR088/default.jpg,https://i.ytimg.com/vi/J9kD9rYR088/hqdefault.jpg
BdTf_uKTqos,ポジティブ☆ダンスタイム / ワンダーランズ×ショウタイム × 鏡音リン,2021-07-20T09:13:16Z,https://i.ytimg.com/vi/BdTf_uKTqos/default.jpg,https://i.ytimg.com/vi/BdTf_uKTqos/hqdefault.jpg
jSwRwYVjRg8,地球最後の告白を / MORE MORE JUMP！ × 巡音ルカ,2021-07-20T03:36:33Z,https://i.ytimg.com/vi/jSwRwYVjRg8/default.jpg,https://i.ytimg.com/vi/jSwRwYVjRg8/hqdefault.jpg
DaWbq6KeJq4,Beat Eater / Vivid BAD SQUAD × 鏡音レン,2021-07-20T03:35:44Z,https://i.ytimg.com/vi/DaWbq6KeJq4/default.jpg,https://i.ytimg.com/vi/DaWbq6KeJq4/hqdefault.jpg
uDgikBUvIlQ,六兆年と一夜物語 / Leo/need × 初音ミク,2021-07-11T09:04:35Z,https://i.ytimg.com/vi/uDgikBUvIlQ/default.jpg,https://i.ytimg.com/vi/uDgikBUvIlQ/hqdefault.jpg
s1yW2jPJiVE,タイムマシン / Leo/need × 初音ミク,2021-07-05T02:11:15Z,https://i.ytimg.com/vi/s1yW2jPJiVE/default.jpg,https://i.ytimg.com/vi/s1yW2jPJiVE/hqdefault.jpg
GTlQhMRHXIg,カナデトモスソラ / 25時、ナイトコードで。 × 巡音ルカ,2021-06-28T13:18:52Z,https://i.ytimg.com/vi/GTlQhMRHXIg/default.jpg,https://i.ytimg.com/vi/GTlQhMRHXIg/hqdefault.jpg
SKbutknpQ_I,モア！ジャンプ！モア！ / MORE MORE JUMP！ × 初音ミク,2021-06-28T13:19:21Z,https://i.ytimg.com/vi/SKbutknpQ_I/default.jpg,https://i.ytimg.com/vi/SKbutknpQ_I/hqdefault.jpg
n7ZmBBf5-7g,自傷無色 / 25時、ナイトコードで。 × 初音ミク,2021-06-18T08:12:46Z,https://i.ytimg.com/vi/n7ZmBBf5-7g/default.jpg,https://i.ytimg.com/vi/n7ZmBBf5-7g/hqdefault.jpg
nNe6o3ivrXA,スイートマジック / ワンダーランズ×ショウタイム × 鏡音リン,2021-06-07T01:11:25Z,https://i.ytimg.com/vi/nNe6o3ivrXA/default.jpg,https://i.ytimg.com/vi/nNe6o3ivrXA/hqdefault.jpg
miLfbcfdqus,アイノマテリアル / MORE MORE JUMP！ × MEIKO,2021-06-08T05:53:45Z,https://i.ytimg.com/vi/miLfbcfdqus/default.jpg,https://i.ytimg.com/vi/miLfbcfdqus/hqdefault.jpg
ZjNUJUgyoOw,ボッカデラベリタ / 朝比奈まふゆ、暁山瑞希（25時、ナイトコードで。）,2021-05-27T11:12:32Z,https://i.ytimg.com/vi/ZjNUJUgyoOw/default.jpg,https://i.ytimg.com/vi/ZjNUJUgyoOw/hqdefault.jpg
4z9Mg8sbFeU,ECHO / Vivid BAD SQUAD × 巡音ルカ,2021-05-05T02:32:44Z,https://i.ytimg.com/vi/4z9Mg8sbFeU/default.jpg,https://i.ytimg.com/vi/4z9Mg8sbFeU/hqdefault.jpg
_GdIO1AANg4,「1」 / Leo/need × 巡音ルカ,2021-05-05T02:32:34Z,https://i.ytimg.com/vi/_GdIO1AANg4/default.jpg,https://i.ytimg.com/vi/_GdIO1AANg4/hqdefault.jpg
1RoDmN9n8xE,ワンスアポンアドリーム / ワンダーランズ×ショウタイム × 鏡音レン,2021-04-21T04:10:52Z,https://i.ytimg.com/vi/1RoDmN9n8xE/default.jpg,https://i.ytimg.com/vi/1RoDmN9n8xE/hqdefault.jpg
xD3amnjfxac,ハッピーシンセサイザ / MORE MORE JUMP！,2021-03-19T09:28:16Z,https://i.ytimg.com/vi/xD3amnjfxac/default.jpg,https://i.ytimg.com/vi/xD3amnjfxac/hqdefault.jpg
i16qWEUjd4o,ヒバナ -Reloaded- / Leo/need × 初音ミク,2021-03-19T09:28:05Z,https://i.ytimg.com/vi/i16qWEUjd4o/default.jpg,https://i.ytimg.com/vi/i16qWEUjd4o/hqdefault.jpg
ZMbWDpC1N7s,RAD DOGS / Vivid BAD SQUAD × 初音ミク,2021-02-07T12:22:28Z,https://i.ytimg.com/vi/ZMbWDpC1N7s/default.jpg,https://i.ytimg.com/vi/ZMbWDpC1N7s/hqdefault.jpg
70ZLvDTonqI,霽れを待つ / Leo/need × 初音ミク,2021-01-10T06:09:20Z,https://i.ytimg.com/vi/70ZLvDTonqI/default.jpg,https://i.ytimg.com/vi/70ZLvDTonqI/hqdefault.jpg
EIUO-fPrkSo,ニジイロストーリーズ / ワンダーランズ×ショウタイム × MEIKO × KAITO,2020-12-20T06:12:09Z,https://i.ytimg.com/vi/EIUO-fPrkSo/default.jpg,https://i.ytimg.com/vi/EIUO-fPrkSo/hqdefault.jpg
